order_id,customer_name,email,product,category,amount,purchase_date,country
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Daniel Doyle,garzaanthony@example.org,Headphones,Accessories,1721.01,2025-02-08,Madagascar
32e70629-8fad-41a6-86cb-0fb39a1de644,Meredith Barnes,zlawrence@example.org,Headphones,Electronics,414.1,2025-05-13,Cayman Islands
47229389-571a-4876-ac30-7511b2b9437a,Tyler Rogers,jamesmichael@example.com,Headphones,Electronics,1599.85,2025-04-16,Sri Lanka
89463e85-759c-4e66-bacf-b3d00b1f9163,Thomas Miller,maria95@example.net,Headphones,Electronics,853.03,2025-02-03,Bangladesh
c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,Bobby Hall,jamesshawn@example.com,Laptop,Electronics,1266.75,2025-01-29,Guinea
b3aa7efe-4458-4885-ab90-99a435a240ae,Maria Lynch,amandasanchez@example.com,Camera,Electronics,1420.04,2025-03-08,Uzbekistan
3838b326-8e94-4239-b02b-61c4a3d70628,Sarah Parsons,lydiatrujillo@example.com,Phone,Electronics,264.48,2025-02-16,Croatia
e059a0ee-9132-463e-b162-87e4e9c349e0,Christy Porter,ithomas@example.org,Camera,Electronics,1469.74,2025-05-11,Mauritania
6dadd6c7-95a7-4d79-bf3c-4c06434308bc,Jennifer Robinson,williamdavis@example.org,Laptop,Accessories,329.11,2025-05-31,Cape Verde
ae340454-cac5-468c-a8f4-9481a0a04dc4,Arthur James,jrice@example.org,Camera,Electronics,938.03,2025-04-30,Brazil
c0398710-8976-4334-a281-7efdae849217,Martin Rodriguez,amoore@example.net,Phone,Electronics,900.04,2025-06-03,Estonia
2dbc2134-c30f-446e-8026-695ff8cda88b,Ashley Garrett,ericfarmer@example.net,Headphones,Accessories,1020.88,2025-06-16,Uzbekistan
99546eb4-0025-4ad1-ab22-63dd87c5421e,Alec Hickman,john39@example.org,Laptop,Accessories,1945.68,2025-01-15,Libyan Arab Jamahiriya
c2b6d2c5-fa5d-4100-91b7-e948d0e6e660,Beth Keller,josephbrennan@example.com,Camera,Electronics,821.39,2025-06-18,Vanuatu
b09b2a5c-badc-432a-8159-0f538a0f4efb,Eric Carney,samuel87@example.org,Headphones,Accessories,1773.96,2025-02-13,Bahrain
8dcdcd03-969b-4662-8562-8059568cc69b,Daniel Jones,perezrebecca@example.com,Laptop,Accessories,146.04,2025-01-13,Dominica
36d8393a-7c44-4fe7-ab42-20a7474a493b,Miranda Khan,esanchez@example.com,Laptop,Electronics,445.1,2025-02-03,Bhutan
6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,Scott Brown,brownjessica@example.org,Camera,Accessories,832.37,2025-02-13,Comoros
6c006f61-23e2-4cb4-b2d8-567d894a05e4,Joel Baxter,ramosmichelle@example.net,Laptop,Accessories,1935.65,2025-01-18,Pakistan
03c72ba8-d605-4770-8a63-f881ffd0f9d5,Tammy Allison,richardolson@example.com,Phone,Electronics,84.13,2025-06-07,Chad
63f2ae24-fc3d-4348-808d-4127610461e3,Richard Gibson,uhorton@example.net,Phone,Accessories,749.04,2025-04-26,Libyan Arab Jamahiriya
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Lauren Daniels,brian97@example.net,Camera,Accessories,1261.57,2025-06-10,Marshall Islands
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Cody Larson,richarddavid@example.net,Camera,Electronics,1495.85,2025-02-13,Nepal
6b5252e3-14fc-4d54-9e8f-c9650a2c827e,Krystal Stewart,james53@example.com,Phone,Accessories,643.23,2025-03-11,Paraguay
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Taylor Smith,jonesjason@example.com,Phone,Accessories,1791.8,2025-01-24,Guernsey
3e896c64-e117-4ac3-919c-4ea3e1805081,Christopher Bass,cheryl80@example.net,Laptop,Accessories,1488.52,2025-05-23,French Southern Territories
f05db76e-1a84-451a-a9d3-d7c7ee87905e,Deborah Preston,josephjacobs@example.net,Camera,Electronics,747.96,2025-03-02,Poland
81627cf1-4394-42e6-9a58-7e8aa25d6b29,Taylor Mathis Jr.,ccalderon@example.org,Camera,Electronics,1650.62,2025-02-28,Bulgaria
295d6fbf-430f-401d-bad4-09e2a319dcb4,Kristen Patterson,rodriguezsierra@example.net,Headphones,Electronics,273.19,2025-06-08,Mayotte
951f58d0-5e84-4058-95a8-04eb093923de,Jessica Williams,rachel05@example.org,Headphones,Electronics,823.71,2025-04-30,Papua New Guinea
8f5486b7-c7b5-42bc-9a8a-aeca1a50aec3,Jennifer Oliver,sarayoung@example.org,Phone,Electronics,655.3,2025-06-20,Sudan
0658663a-698c-406f-a1a4-7e102d534dd0,Tim Patton,vpham@example.org,Camera,Electronics,69.4,2025-02-16,Solomon Islands
df465290-61ee-411a-9bac-27a7b386f7a4,John Gonzalez,ybailey@example.org,Headphones,Accessories,215.01,2025-02-09,Palestinian Territory
475287aa-5408-49ac-a601-ddd03170f437,Tracy Ramirez,ifrazier@example.com,Laptop,Electronics,666.88,2025-06-14,Brazil
2db69edb-42de-4fcc-b86c-2ca2e08596db,Victoria Johnson,yreed@example.com,Phone,Accessories,199.9,2025-03-18,Malawi
939b462d-e645-4129-a29c-2ae31d9af659,Andrew Graham,michaeljones@example.net,Headphones,Accessories,1251.61,2025-06-11,Nigeria
1fe771d6-d917-4793-a9d3-c2e6505cc686,Elizabeth Parker,snguyen@example.com,Camera,Electronics,1045.25,2025-04-08,Congo
610faa3f-f0bb-4c67-aa38-d0a16ba25efe,Stephanie Gilbert,richard04@example.com,Camera,Accessories,1020.77,2025-02-06,Solomon Islands
527eecfa-a79a-49aa-9b4e-2c249479e1e6,Jeremy Lewis,yleon@example.net,Headphones,Accessories,377.28,2025-01-30,Belize
a2086977-a9f2-4336-83f4-a9a948a639d0,Anna Crane,emilywalker@example.org,Phone,Accessories,1568.45,2025-01-26,Aruba
9c7c7377-79a2-4903-bbe3-3b243eae0032,Angel Perry,jennifercruz@example.com,Headphones,Electronics,418.27,2025-02-12,Palau
c03f3538-e485-4aa1-816b-6287b00805cc,Stacey Osborne,gregoryrubio@example.net,Laptop,Electronics,1761.19,2025-03-23,Moldova
1f115b76-d92c-4227-aadf-50853fcb7546,Robert Contreras,stephanie79@example.net,Camera,Accessories,1788.4,2025-06-06,Japan
722764e6-8c41-461b-a827-a1b9d4a02e53,Natasha Wells,karen48@example.com,Laptop,Accessories,1778.37,2025-04-20,Falkland Islands (Malvinas)
49257af1-b6aa-405b-93d5-f2f7709b7d97,George Orozco,taylorjesse@example.net,Camera,Electronics,962.07,2025-01-27,Croatia
54b4a482-6858-4eba-aa34-c85410714d51,Jennifer Clark,xprice@example.net,Headphones,Electronics,1797.37,2025-06-15,Angola
9360715f-c3fe-4183-a172-b725db52ca58,Aaron Bell,acastaneda@example.net,Camera,Accessories,1735.82,2025-05-11,Mayotte
3875394c-e5d6-46e6-9a6e-c2f5ccc42903,Don Tucker MD,dramsey@example.org,Laptop,Electronics,1798.18,2025-06-21,Martinique
978648f8-64de-42e6-a82c-7d7b06e745f9,Alyssa Day,michellewhite@example.com,Camera,Accessories,1508.43,2025-03-08,Croatia
c2dff335-5666-4f9f-93ac-2ab974672cd9,Diana Bean,fking@example.com,Phone,Electronics,245.08,2025-01-04,Mauritius
59970043-f3b1-425b-bff9-f5850d557b61,Barry Bernard,websterstefanie@example.org,Laptop,Electronics,851.42,2025-05-27,Nigeria
793b4c32-2050-4494-bd11-48022702878b,Kristy Robinson,katie29@example.net,Camera,Electronics,367.4,2025-06-18,Saint Barthelemy
29ec8e49-d1bd-48c0-871d-5e601d5206ab,Ashley Johnson,barbara66@example.net,Headphones,Electronics,135.82,2025-02-04,Nauru
3e2b6091-a092-452a-94a0-57a7b0cc1b3b,Raymond Jefferson,hoganashlee@example.org,Camera,Accessories,284.32,2025-03-02,Japan
8186a576-11a7-4609-9edd-bbbfa9597663,Alexandria Fisher,xgarcia@example.net,Headphones,Accessories,1435.94,2025-06-06,Kuwait
2d174fc9-6f7c-45ea-a72a-6d8eb5122df8,Tracie Nelson,umarshall@example.net,Phone,Accessories,301.97,2025-02-16,Timor-Leste
162f8a24-ef43-413c-94aa-c9a33ed8c56c,Jerry Christensen,frogers@example.com,Camera,Accessories,363.27,2025-02-01,Croatia
57207246-4223-423b-8c3e-bdde5ad5cf06,Kyle Beard,blackjames@example.org,Headphones,Electronics,1916.82,2025-05-07,Liechtenstein
b0cbc61f-3d85-4e89-8217-14298e200724,Michael West,davisjeffrey@example.net,Camera,Accessories,1980.54,2025-02-12,Panama
8db06746-7927-4973-9e78-1fd794e0d3ba,Jessica Reese,michael74@example.com,Laptop,Accessories,522.18,2025-02-13,British Indian Ocean Territory (Chagos Archipelago)
1e9b23bc-50c7-4006-b14d-3441b8a6171f,Tiffany Vaughn,javierwashington@example.net,Phone,Electronics,1527.07,2025-04-14,Senegal
fb02bebb-4872-4a4d-98c7-472a864e9a13,Cory Perez,kevinerickson@example.org,Camera,Electronics,1218.12,2025-02-18,Austria
f1afdb65-b289-4224-8ac9-778d8da8eee4,Sean Henry,andrewstaylor@example.com,Phone,Electronics,1998.25,2025-03-01,Austria
7a4c75d4-dc99-404c-b0e9-8b3b40a26c60,Austin Vasquez,hernandezlisa@example.com,Camera,Electronics,744.12,2025-01-15,Egypt
6a8a616f-c3b2-40d0-8edd-dfcd1e52d770,Rachel Perez,chayes@example.com,Phone,Accessories,161.94,2025-05-31,Japan
0f6b40d0-9efb-458b-9191-b3634e2d6645,Natalie Meza,colleenbaker@example.org,Headphones,Electronics,351.66,2025-01-28,China
00af5b3a-2812-459a-9337-739e8d4f5d27,Michael Harrison,halljasmine@example.net,Camera,Electronics,961.24,2025-05-31,Barbados
43b9da13-ec85-4f37-bbc1-a987aff8754d,Lori Guerrero,ronaldstephens@example.net,Camera,Accessories,1575.62,2025-01-27,Ethiopia
0f44704f-1247-4a4e-a469-98e8d39e198b,Eric Curry,scott74@example.net,Camera,Electronics,238.44,2025-03-12,Faroe Islands
7010f719-7e69-4d0d-8a3c-3b5e801ef1da,Andrew Reynolds,cassandra01@example.org,Camera,Accessories,1505.14,2025-06-18,Taiwan
f366bad4-964d-403f-9340-3faddc4ad56b,Phillip Underwood,hinesgregory@example.net,Headphones,Electronics,1240.54,2025-04-25,United States Virgin Islands
95d82980-ff37-419c-ae76-128b473544f9,Robert Costa,vbailey@example.com,Phone,Accessories,198.17,2025-04-28,Togo
b194990b-6961-429e-946e-035a292bd156,Matthew Morales DDS,gibsonleonard@example.com,Headphones,Electronics,38.35,2025-01-21,Sierra Leone
